"League";"SeasonFrom";"SeasonTo";"date";"matchday";"day";"Home";"Guest";"Goals90Home";"Goals90Guest";"Goals45Home";"Goals45Guest"
"BL";2010;2011;2010-08-20;1;"Friday";"Bayern";"Wolfsburg";2;1;1;0
"BL";2010;2011;2010-08-21;1;"Saturday";"Hoffenheim";"Bremen";4;1;4;1
"BL";2010;2011;2010-08-21;1;"Saturday";"Gladbach";"Nuernberg";1;1;1;1
"BL";2010;2011;2010-08-21;1;"Saturday";"Koeln";"K'lautern";1;3;1;0
"BL";2010;2011;2010-08-21;1;"Saturday";"Freiburg";"St. Pauli";1;3;0;0
"BL";2010;2011;2010-08-21;1;"Saturday";"Hannover";"Frankfurt";2;1;1;1
"BL";2010;2011;2010-08-21;1;"Saturday";"HSV";"Schalke";2;1;0;0
"BL";2010;2011;2010-08-22;1;"Sunday";"Mainz";"Stuttgart";2;0;1;0
"BL";2010;2011;2010-08-22;1;"Sunday";"Dortmund";"Leverkusen";0;2;0;2
"BL";2010;2011;2010-08-27;2;"Friday";"K'lautern";"Bayern";2;0;2;0
"BL";2010;2011;2010-08-28;2;"Saturday";"Schalke";"Hannover";1;2;0;1
"BL";2010;2011;2010-08-28;2;"Saturday";"Bremen";"Koeln";4;2;2;1
"BL";2010;2011;2010-08-28;2;"Saturday";"Wolfsburg";"Mainz";3;4;3;1
"BL";2010;2011;2010-08-28;2;"Saturday";"Frankfurt";"HSV";1;3;1;0
"BL";2010;2011;2010-08-28;2;"Saturday";"Nuernberg";"Freiburg";1;2;1;1
"BL";2010;2011;2010-08-28;2;"Saturday";"St. Pauli";"Hoffenheim";0;1;0;0
"BL";2010;2011;2010-08-29;2;"Sunday";"Leverkusen";"Gladbach";3;6;1;3
"BL";2010;2011;2010-08-29;2;"Sunday";"Stuttgart";"Dortmund";1;3;0;3
"BL";2010;2011;2010-09-10;3;"Friday";"Hoffenheim";"Schalke";2;0;1;0
"BL";2010;2011;2010-09-11;3;"Saturday";"Dortmund";"Wolfsburg";2;0;0;0
"BL";2010;2011;2010-09-11;3;"Saturday";"HSV";"Nuernberg";1;1;0;0
"BL";2010;2011;2010-09-11;3;"Saturday";"Gladbach";"Frankfurt";0;4;0;2
"BL";2010;2011;2010-09-11;3;"Saturday";"Freiburg";"Stuttgart";2;1;0;1
"BL";2010;2011;2010-09-11;3;"Saturday";"Hannover";"Leverkusen";2;2;1;0
"BL";2010;2011;2010-09-11;3;"Saturday";"Bayern";"Bremen";0;0;0;0
"BL";2010;2011;2010-09-12;3;"Sunday";"Mainz";"K'lautern";2;1;0;1
"BL";2010;2011;2010-09-12;3;"Sunday";"Koeln";"St. Pauli";1;0;1;0
"BL";2010;2011;2010-09-17;4;"Friday";"Frankfurt";"Freiburg";0;1;0;0
"BL";2010;2011;2010-09-18;4;"Saturday";"Bayern";"Koeln";0;0;0;0
"BL";2010;2011;2010-09-18;4;"Saturday";"Bremen";"Mainz";0;2;0;0
"BL";2010;2011;2010-09-18;4;"Saturday";"Stuttgart";"Gladbach";7;0;2;0
"BL";2010;2011;2010-09-18;4;"Saturday";"Wolfsburg";"Hannover";2;0;0;0
"BL";2010;2011;2010-09-18;4;"Saturday";"K'lautern";"Hoffenheim";2;2;0;1
"BL";2010;2011;2010-09-19;4;"Sunday";"St. Pauli";"HSV";1;1;0;0
"BL";2010;2011;2010-09-19;4;"Sunday";"Schalke";"Dortmund";1;3;0;1
"BL";2010;2011;2010-09-19;4;"Sunday";"Leverkusen";"Nuernberg";0;0;0;0
"BL";2010;2011;2010-09-21;5;"Tuesday";"Mainz";"Koeln";2;0;0;0
"BL";2010;2011;2010-09-21;5;"Tuesday";"Hoffenheim";"Bayern";1;2;1;0
"BL";2010;2011;2010-09-21;5;"Tuesday";"Hannover";"Bremen";4;1;1;1
"BL";2010;2011;2010-09-22;5;"Wednesday";"Leverkusen";"Frankfurt";2;1;1;1
"BL";2010;2011;2010-09-22;5;"Wednesday";"Dortmund";"K'lautern";5;0;2;0
"BL";2010;2011;2010-09-22;5;"Wednesday";"HSV";"Wolfsburg";1;3;1;1
"BL";2010;2011;2010-09-22;5;"Wednesday";"Gladbach";"St. Pauli";1;2;1;0
"BL";2010;2011;2010-09-22;5;"Wednesday";"Freiburg";"Schalke";1;2;0;1
"BL";2010;2011;2010-09-22;5;"Wednesday";"Nuernberg";"Stuttgart";2;1;1;0
